question,answer,id
こんにちは,こんにちはどうかしましたか？,1
さようなら,またこんど！,2
好きな食べ物は？,私はaiなので好きなものなど特にないです。,3
なんか会話しましょ？,もちろんです！,4
getElementbyIDってなんですか？,htmlの要素を取得するためのものです。,5
javascriptで関数を作るには？,constを使います。,6
javascriptでの変数は？,letです。,7
javascriptのabsとは？,absolute(絶対値)です。,8
javascriptのexpとは？,ネイピア数のx乗です。,9
javascriptのpowとは？,xの巾乗です。,10
北海道の魅力は？,雪かか色々です。,11
小樽のウニうまいよね,そうですね。うまいです。,11
ヤリキレナイ川はやりきれません,下らないですが面白いですね。,12
青森のねぶた祭りは？,迫力があって美しい祭りですね。,13
岩手の南部せんべいについて教えて,独特のパリパリした食感が特徴です。,14
宮城の松島はどう思う？,日本三景の一つで絶景です。,15
秋田のなまはげって？,悪い子をこらしめる伝統行事です。,16
山形のさくらんぼは？,とても甘くて美味しい果物ですね。,17
福島の大内宿を知ってる？,古い茅葺き屋根の家並みが美しい観光地です。,18
茨城の偕楽園は？,日本三名園の一つで梅の名所です。,19
栃木の日光東照宮は？,徳川家康を祀った壮大な神社です。,20
群馬の草津温泉について教えて,日本の名湯で有名な温泉地です。,21
埼玉の川越について知ってる？,「小江戸」と呼ばれる風情ある町並みが魅力です。,22
千葉の成田山新勝寺って？,成田空港に近い有名な寺院です。,23
東京タワーは高いね,そうですね、高さ333メートルです。,24
神奈川の箱根について教えて,温泉と美しい景色で人気の観光地です。,25
新潟のへぎそばは？,つなぎに布海苔を使った独特なそばです。,26
富山の立山黒部アルペンルートは？,壮大な自然の景観が楽しめる観光ルートです。,27
石川の兼六園は？,日本三名園の一つで四季折々の美しさが楽しめます。,28
福井の恐竜博物館について知ってる？,日本最大級の恐竜博物館です。,29
山梨の富士山はどう思う？,日本一高い山で象徴的な存在です。,30
長野の善光寺について教えて,無宗派で誰でも参拝できる歴史ある寺院です。,31
岐阜の白川郷は？,合掌造りの美しい集落で世界遺産です。,32
静岡のお茶は美味しいね,そうですね、静岡は日本有数のお茶の産地です。,33
愛知の名古屋城って？,金のシャチホコが有名なお城です。,34
三重の伊勢神宮について知ってる？,日本で最も尊い神社とされています。,35
滋賀の琵琶湖は？,日本最大の湖で多様な生態系があります。,36
京都の清水寺について教えて,舞台からの眺めが素晴らしい有名な寺院です。,37
大阪のたこ焼きは美味しいね,そうですね、大阪の名物料理です。,38
兵庫の姫路城は？,白鷺城と呼ばれる美しいお城です。,39
奈良の大仏ってどこ？,東大寺にあります。,40
和歌山の熊野古道は？,世界遺産に登録されている巡礼の道です。,41
鳥取の砂丘はどう思う？,日本で最大の砂丘で壮大な景色です。,42
島根の出雲大社について教えて,縁結びの神様として有名な神社です。,43
岡山の後楽園は？,日本三名園の一つで美しい庭園です。,44
広島の厳島神社って？,海上に浮かぶ大鳥居が有名です。,45
山口の錦帯橋は？,五連アーチが美しい木造の橋です。,46
徳島の阿波踊りは？,日本三大盆踊りの一つで、活気ある踊りです。,47
香川のうどんはどう？,讃岐うどんはコシがあって美味しいです。,48
愛媛の道後温泉について教えて,日本最古の温泉といわれています。,49
高知の坂本龍馬について知ってる？,幕末の志士で日本の近代化に貢献しました。,50
福岡の屋台は？,多くの美味しい料理が楽しめる屋台文化です。,51
佐賀の吉野ヶ里遺跡って？,弥生時代の大規模な集落遺跡です。,52
長崎の平和公園について教えて,原爆の悲劇を忘れないための公園です。,53
熊本の熊本城は？,日本三名城の一つで復興が進んでいます。,54
大分の別府温泉は？,豊富な湯量で有名な温泉地です。,55
宮崎の高千穂峡について知ってる？,美しい渓谷で神話にも登場する場所です。,56
鹿児島の桜島は？,活火山でありながら観光も楽しめる場所です。,57
沖縄の美ら海水族館はどう？,世界でも有数の大規模な水族館で見どころが多いです。,58
